Word	Count
&	2
*	5
1916	1
a	271
about	33
above	1
accusation	1
accustomed	1
across	5
actually	1
added	8
addressed	1
adjourn	1
adoption	1
adventures	3
advice	1
advisable	2
advise	1
affectionately	2
afore	1
afraid	6
after	16
afterwards	1
again	28
against	5
agony	1
ah	2
ahem	1
aim	2
air	5
alarm	1
alas	4
alice	163
alices	8
alive	1
all	61
almost	1
alone	2
alonecatch	1
along	4
aloud	2
already	1
alternately	1
altogether	1
always	2
am	6
among	9
an	18
and	334
andoh	1
anger	2
angrily	1
angry	3
animal	1
animals	5
ann	4
another	9
answer	3
answers	1
anxiously	5
any	14
anyone	1
anything	6
apiece	1
appearance	1
appeared	1
apples	1
archbishop	2
arches	1
are	19
arm	9
armchair	1
arms	5
around	1
arrived	1
as	91
asked	4
asking	3
asleep	2
assembled	2
at	78
ate	1
atheling	1
atom	1
attempt	1
attending	1
authority	1
away	16
awhile	2
baby	5
babythe	1
back	15
balls	1
bank	2
banks	1
bankthe	1
barrowful	2
be	38
bearwhos	1
beasts	1
beat	1
beating	1
beautiful	2
beautifully	2
because	3
become	1
bed	1
beds	1
been	11
before	12
beg	3
began	19
begged	1
begin	3
beginning	4
begun	1
beheading	1
behind	3
being	2
believe	3
belong	1
below	2
bend	2
best	5
better	3
between	1
bill	4
bills	1
birds	7
bit	9
blades	1
blasts	2
blew	2
blow	1
blows	1
blue	1
book	4
bookshelves	1
both	3
bottle	8
bough	1
bowed	2
box	2
boxed	1
branches	1
brass	1
bread	3
breath	2
breathe	2
bright	4
brightened	1
bring	1
bringing	1
bristling	1
broke	1
broken	4
brought	1
brushing	1
burning	1
busily	1
business	3
but	47
butter	3
buttered	1
by	25
cake	2
cakes	3
caldron	2
call	4
called	10
calling	1
came	25
can	9
canary	1
cannot	1
cant	8
canterbury	1
cards	3
care	3
carefully	1
cares	1
carried	1
carrying	2
cartwheels	1
case	1
cat	12
caterpillar	14
cats	7
catsnasty	1
caucusrace	3
caught	2
cause	3
caused	2
ceiling	1
certain	2
certainly	4
chains	1
chanced	1
change	4
changed	3
changes	1
changing	1
chatte	1
cherrytart	1
cheshirecat	3
cheshirecats	1
cheshirepuss	1
child	2
children	2
chimney	4
chimneynay	1
chin	3
chinit	1
choice	2
choke	1
choked	1
chorus	3
circle	1
circumstances	1
clapping	1
climb	1
clinging	1
close	6
closely	1
clubs	1
come	14
comes	2
comfits	2
coming	4
commotion	1
company	3
complained	1
complaining	1
completely	1
concluded	1
condemn	1
confused	1
confusing	1
confusion	4
conqueror	2
conquest	1
consider	2
considering	1
constant	1
consultation	1
continued	2
conversation	2
conversations	2
cook	7
cool	2
copyright	1
corner	3
corners	1
could	28
course	6
court	7
courtiers	1
crash	2
crawled	1
creature	3
creatures	3
creep	1
cried	11
crimson	1
croquet	7
croquetground	2
croqueting	1
cross	1
crossexamine	1
crossly	1
crouched	1
crowd	3
crowded	4
crown	2
crownhow	1
cry	3
crying	1
cucumberframe	1
cunning	1
cupboards	2
cur	1
curiosity	1
curious	7
curiouser	2
curls	1
currants	1
curtain	1
curving	1
cushion	1
custard	1
custody	1
cut	1
d	1
daisies	1
daisychain	1
dare	1
dark	3
darkness	1
day	7
dead	2
deal	5
dear	14
dears	2
death	1
decided	1
deep	2
delight	1
delighted	2
denial	1
despair	1
diamonds	1
did	12
didnt	4
different	1
difficulty	2
digging	2
dinah	5
dinahll	1
dipped	1
direction	3
directions	2
directly	1
disagree	1
disappeared	1
disappointment	1
dish	2
dishes	1
dismay	1
distance	3
dive	1
do	29
dodo	7
does	1
doesnt	3
dog	1
dogs	3
doing	3
done	4
dont	15
door	23
doors	2
doorway	1
dormouse	6
double	1
doubt	1
doubtfully	1
down	51
dozing	1
draggled	1
draw	1
dreadfully	2
dream	2
dressed	1
drew	2
dried	1
driest	1
drink	4
dripping	1
drop	1
dropped	4
drunk	1
dry	6
duchess	21
duchesss	2
duck	3
each	3
eager	1
eagerly	1
eaglet	2
ear	3
earls	1
earnestly	1
ears	2
easily	1
easy	2
eat	7
edgar	1
edge	2
edwin	1
effect	2
eggs	3
either	8
elbow	1
else	3
emphasis	1
empty	1
encourage	1
end	6
energetic	1
engaged	1
english	4
engraved	1
enough	5
enoughi	1
entangled	2
entrance	1
escape	3
est	1
even	4
ever	7
every	3
everybody	2
everything	3
evidence	5
evidently	1
exactly	3
excellent	1
except	1
exclaimed	1
executed	2
execution	2
existence	1
explain	3
extraordinary	1
eye	2
eyes	10
face	9
faces	1
fact	4
failure	1
fair	1
fairly	1
fall	4
fallen	3
falling	1
familiarly	1
family	1
fan	9
fancied	1
fancy	1
fanning	1
far	4
farther	1
fast	1
favored	1
fear	1
feathers	1
feeble	1
feel	2
feeling	1
feelings	1
feet	12
fell	5
felt	7
ferrets	2
fetch	2
few	3
field	1
fifteen	1
fifth	1
fight	1
fighting	1
filled	1
find	13
finding	2
finds	1
fine	1
finger	1
finish	1
finished	3
fire	2
fireirons	1
first	20
firstverdict	1
fishand	1
fishfootman	2
fitted	1
five	2
flamingo	2
flamingos	1
flashed	1
flat	1
flavor	1
flinging	1
floor	2
flowerbeds	1
flowers	2
flown	1
fluttered	1
fly	1
flying	1
folded	2
followed	5
follows	1
fond	1
fondofof	1
foot	7
footman	4
footsteps	2
for	48
forget	1
forgetting	1
forgot	2
forgotten	2
fortytwo	1
found	21
fountains	2
four	1
fourteenth	1
free	2
french	2
fright	2
frighten	1
frightened	3
frog	2
frogfootman	1
from	18
front	2
frowning	1
full	4
fumbled	1
fur	2
furious	1
furrows	1
fury	2
gabriel	2
gallons	1
game	3
games	1
garden	13
gardeners	2
gardenhow	1
gave	5
general	2
generally	3
gently	1
get	20
getting	7
girl	2
give	5
glad	3
glass	8
gloves	5
go	22
goes	2
going	12
golden	6
gone	5
good	8
goodby	1
goodnaturedly	1
got	16
graceful	1
grand	1
grass	2
gravely	1
great	19
green	1
grew	1
grin	1
grinned	2
grinning	1
grins	1
ground	3
grow	8
growing	8
grown	1
grunted	2
guard	1
guess	1
guessed	2
guests	1
had	65
hadnt	1
half	10
hall	8
hand	10
handed	2
hands	6
hanging	1
happen	1
happened	2
happens	3
hard	5
hardly	3
hare	8
harm	1
has	3
hastily	8
hatching	1
hate	1
hatec	1
hated	1
hatter	11
have	20
havent	2
having	3
he	22
head	14
headbrandy	1
heads	3
heap	1
hear	6
heard	17
hearing	2
hearts	8
hedge	2
hedgehog	3
hedgehogs	2
hedges	1
height	4
held	2
hell	1
help	2
helpless	1
her	109
herald	1
here	19
hers	2
herself	33
high	14
highest	1
him	5
himself	1
himwhat	1
his	17
hiss	1
history	2
hit	2
hold	2
holding	2
home	2
honest	1
honor	2
hookah	3
hope	3
hopeless	1
hoping	1
hot	2
hour	2
house	12
housemaid	1
how	15
however	8
howling	3
humbly	1
hung	1
hunting	1
hurried	5
hurriedly	2
hurry	4
hurrya	1
hurrying	1
hurt	3
hush	2
i	127
id	1
idea	7
idown	1
if	27
ii	1
iiia	1
iithe	1
ill	13
illustration	25
im	19
imagine	1
immediate	1
immediately	1
immense	1
impatiently	2
important	3
impossible	1
in	165
inches	5
indeed	5
indignantly	2
inquisitively	1
inside	1
instantly	2
instead	1
insult	1
into	39
invitation	2
invited	1
inwards	1
is	37
isnt	1
isoh	1
istake	1
it	168
itit	1
itll	2
its	35
itself	4
itsits	1
ive	10
ivthe	1
ixwho	1
jackinthebox	1
jar	2
joined	1
judge	3
judging	1
jumped	2
jumping	2
jurors	1
jury	4
jurybox	2
jurymen	2
just	24
keep	2
keeping	1
kept	6
kettle	1
key	9
kick	1
kidgloves	5
kill	1
kills	1
king	24
kings	2
kitchen	2
knave	6
knee	1
kneel	1
knelt	1
knew	2
knocked	1
knocking	2
know	20
known	1
knowno	1
knuckles	1
label	1
labeled	1
ladder	1
lamps	1
languid	1
lap	1
large	22
larger	5
largest	1
last	16
late	4
later	1
law	1
lay	2
leaders	1
leading	1
leaning	1
leap	1
least	3
leastat	1
leave	4
leaves	4
led	4
left	6
lefthand	2
legs	2
length	1
less	2
lessonbook	1
lest	1
let	5
lets	1
letter	3
letters	1
life	3
like	34
liked	2
likely	1
linked	1
lips	1
list	1
listen	2
lit	1
little	59
live	2
livery	2
lives	3
lock	1
locked	1
locks	1
lonely	1
long	12
longed	1
longer	1
look	4
looked	18
looking	11
lookingglass	1
lookout	1
lory	2
lost	2
loud	1
loudly	3
love	2
loveliest	1
lovely	2
low	11
lowspirited	1
luckily	2
lying	4
ma	1
mad	5
made	11
magic	1
majesty	5
make	8
makes	4
making	3
mallets	1
man	2
managed	2
many	3
maps	1
march	9
marked	5
marmalade	1
mary	4
master	1
matter	1
matters	1
may	3
me	31
mean	5
meaning	3
means	3
meant	2
measure	1
meet	2
meeting	1
melancholy	1
mentioned	1
mercia	1
merely	1
met	2
middle	4
might	7
mile	2
miles	1
milk	1
mind	7
minding	1
mine	1
minute	7
minutes	4
mischief	1
miserable	1
miss	3
mistake	2
mixed	1
moment	17
moments	1
moral	2
morcar	1
more	23
morning	3
morsel	1
most	2
mostly	2
mouse	26
mouses	1
mouth	3
move	1
moved	2
moving	1
much	13
murder	1
mushroom	7
must	14
muttering	2
my	19
myself	4
name	6
narrow	1
natural	1
near	11
nearer	1
nearly	1
neat	1
neck	5
neednt	1
needs	1
neither	2
nervous	1
nest	1
never	11
new	2
next	14
nibbled	2
nibbling	2
nice	2
night	1
nine	3
no	28
nobody	2
noise	3
nonsense	2
nor	3
northumbria	1
nose	1
not	41
notebook	1
nothing	13
notice	4
noticed	6
now	24
nowall	1
nowdont	1
nowhere	1
number	1
nurse	1
nursing	1
o	2
occasionally	1
of	199
off	31
offended	5
offer	1
often	1
oh	16
old	1
on	64
once	14
one	35
ones	1
oneself	1
only	14
open	4
opened	6
opening	2
opportunity	1
opposite	1
or	34
orange	1
ornamented	2
other	20
otherbill	1
others	3
ou	1
ought	5
our	7
out	52
outoftheway	1
outside	2
over	14
overhead	1
own	2
pack	4
painting	2
pair	4
pairs	1
pale	2
panting	1
paper	3
parchment	1
parchmentscroll	1
pardon	3
pardoned	1
particular	2
party	6
passage	4
passed	1
passion	1
passionate	1
past	1
pat	2
patriotic	1
patted	1
pattering	3
pause	1
paw	2
paws	1
pebbles	2
peeped	3
peeping	1
pegs	1
people	5
pepper	3
pepperbox	1
perhaps	2
person	1
persons	1
picked	2
picking	1
pictures	3
piece	4
pieces	2
pig	2
pigeon	7
pineapple	1
pink	1
place	1
placed	1
places	1
placesall	1
plainly	1
plate	1
plates	1
play	6
played	1
players	3
playing	1
pleasant	1
please	11
pleasing	1
pleasure	1
plenty	2
pocket	2
pointing	1
poison	3
politely	1
pool	8
poor	10
pop	1
pope	1
possible	1
possibly	2
poured	1
presentat	1
presently	1
pressed	2
pressing	1
pretexts	1
printed	1
prison	1
prisoner	1
prizes	5
proceed	1
procession	2
producing	1
promised	1
proper	1
prosecute	1
prove	1
proved	1
pulled	1
pulling	1
purple	1
put	9
puzzle	1
puzzled	1
puzzling	1
quarrel	1
quarreling	1
quarrelling	1
queen	28
queens	3
queer	1
queerlooking	1
queershaped	1
question	8
quick	1
quicker	1
quiet	1
quietly	2
quite	19
quiver	1
rabbit	31
rabbithole	3
rabbits	2
rabbitspat	1
race	2
racecourse	1
raising	1
ran	10
rapidly	2
rapped	1
rate	6
rather	10
rathole	1
rats	1
rattling	1
raven	1
raw	1
reach	3
reaching	1
read	6
reading	2
ready	2
real	1
really	3
rearing	1
reason	2
reasons	1
recognized	1
red	2
refreshments	1
relieved	1
remained	2
remark	1
remarkable	2
remarked	1
remarking	2
remedies	1
remember	3
remembered	2
repeated	2
replied	6
reply	2
resource	1
returning	1
riddle	1
riddles	1
riddlesi	1
ridges	1
right	7
righthand	1
ring	2
rise	1
rising	1
roared	1
roast	1
roof	3
room	8
roots	1
rose	1
roses	2
rosetree	2
round	17
row	1
royal	1
rule	1
rules	2
rumbling	1
run	1
running	4
rush	1
sad	2
sadly	1
safe	1
said	144
saltwater	2
same	11
saml	2
sat	5
saucepans	1
saucer	1
savage	1
save	2
saves	1
saw	5
say	12
saying	2
says	1
saythats	1
scolded	1
scrambling	1
scratching	1
